Panel,Test_Time,Tcell_C,CellParamTkI_pctC,CellParamTkU_pctC,Tmonicell_C,CorrectedToInsol_Wm2,Pmax_W,Vmp_V,Imp_A,Voc_V,Isc_A,STC_Efficiency_pct,FF_pct,Pattern_Type
EG-PF4,09:51:54,25.5,-0.04,-0.20,24.8,1000,200.95,32.22,6.24,39.35,6.61,13.64,81.63,Reference
EG-PF1,10:10:23,26.3,-0.05,-0.18,25.0,998,187.52,32.27,5.81,39.18,6.14,12.73,81.79,Geometric dot
EG-PF2,10:50:45,25.8,-0.04,-0.21,24.9,999,213.67,32.27,6.62,39.41,6.96,14.50,81.94,Wavy line
EG-PF3,11:30:10,26.0,-0.06,-0.19,25.1,1001,193.83,32.28,6.00,39.24,6.30,13.15,82.39,Flowing curve
