Panel,Pmax_W,Vmp_V,Imp_A,Voc_V,Isc_A,Module_Efficiency_STC_pct,FF_pct,Relative_Loss_pct
EG-PF1,291.875,67.563,4.320,78.371,4.553,14.50,81.79,27.59
EG-PF2,291.984,67.545,4.323,78.389,4.546,14.51,81.94,27.56
EG-PF3,291.402,67.954,4.288,78.425,4.510,14.48,82.39,27.70
EG-PF4_baseline,403.063,68.075,5.921,78.400,6.230,20.02,81.63,0.00
SERIS_Multicolor,165.000,32.900,5.000,39.300,5.200,10.00,,43.00
