Module,Color_Coverage_pct,Isc_Loss_pct,Voc_Loss_pct,FF_Change_pct,Total_Efficiency_Loss_pct
M-1,26.48,17.9,1.0,-0.9,18.0
M-2,26.48,23.7,1.4,-1.8,23.5
M-3,18.66,13.5,0.8,-1.7,12.6
M-4,26.48,21.7,1.2,-2.4,20.9
M-6,26.48,24.0,0.2,-4.1,21.1
M-9,26.48,20.0,0.6,-2.0,18.9
M-5C,26.48,28.8,1.4,-1.3,28.0
M-7,100.00,88.6,7.6,-12.5,88.3
M-8,61.51,58.1,2.7,-7.3,56.2
